generation,gain_enemy_2,gain_enemy_6,gain_enemy_7,gain_enemy_8,kill_enemy_2,kill_enemy_6,kill_enemy_7,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.028302534457336236,0.028101951036296147,0.034041263869675736,0.13758104279372185
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.10965452993238016,0.15970314961398405,0.24247606385783674,0.21044391338098284
1,-95.0,-90.0,-100.0,-70.19999999999987,0.0,0.0,0.0,0.0,0.21560860473038657,0.038145345518702786,0.11386207144121678,0.12663563690023044
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.19885088379864543,0.031287276098907524,0.11119921383906989,0.11974103627422483
1,-52.5,-97.5,-70.0,14.65000000000024,0.0,0.0,0.0,1.0,0.0735708463504706,0.14929499539737226,0.27404189842187565,0.059893832709503186
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.10990411632105151,0.24869262909918832,0.06187293046180663,0.2532578027293436
1,-30.0,-95.0,-32.5,-90.0,0.0,0.0,0.0,0.0,0.0939725133916598,0.2731735518211416,0.3,0.08458330827677263
1,-82.5,-95.0,-97.5,-85.0,0.0,0.0,0.0,0.0,0.2746707454900248,0.03892316271467069,0.240691764588456,0.08208445758876842
1,-47.5,-95.0,-32.5,-90.0,0.0,0.0,0.0,0.0,0.24196642560384482,0.03794429340771743,0.10964899328477212,0.10402084868276053
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.2104895013924045,0.2761100825123565,0.2267764639075577,0.15422559802103303
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.2528123681786673,0.3,0.10768571332835478,0.11687361968457488
1,41.0,-55.0,-35.0,-80.0,1.0,0.0,0.0,0.0,0.3,0.14758457365215868,0.03851353208129005,0.1607816492110046
1,6.0,-95.0,-42.5,-77.5,0.5,0.0,0.0,0.0,0.24340329340981834,0.01222428860141649,0.10660819791676109,0.13145300155353193
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.16835389002016904,0.02188219591898352,0.26154567089532116,0.227312689741381
1,6.0,-95.0,-42.5,25.75000000000025,0.5,0.0,0.0,1.0,0.1881443058004783,0.12641452389056695,0.02931937457424496,0.06798934497591284
1,-100.0,-100.0,-65.0,-95.0,0.0,0.0,0.0,0.0,0.11127355443816338,0.001,0.12457308685590382,0.04651622811515236
1,-37.5,-95.0,-65.0,25.60000000000025,0.0,0.0,0.0,1.0,0.18723313995067298,0.06348221459586643,0.13881565716804967,0.1863285574720687
1,15.5,-95.0,-40.0,25.60000000000025,0.5,0.0,0.0,1.0,0.19468041163335256,0.07357433872747234,0.3,0.15927328818952086
1,-50.0,-90.0,-52.5,-55.0,0.0,0.0,0.0,0.0,0.2499479690171737,0.02610446117769311,0.14249643210942822,0.3
1,27.0,-95.0,-35.0,25.60000000000025,0.75,0.0,0.0,1.0,0.10913402668235261,0.20992484797903033,0.3,0.21715654452333105
